Index,Field,Value
4.1.1,Title,"Acer United States | Laptops, Desktops, Chromebooks ..."
4.2.1,Title,"US | Laptops, Desktops, Chromebooks, Monitors and more!"
4.3.1,Title,Acer Store
4.4.1,Title,"Laptops, PCs, Tablets, Monitors & more! - Acer Store"
4.5.1,Title,"Acer Store UK | Laptops, Desktops, Chromebooks, Monitors ..."
4.6.1,Title,Acer Inc. - Wikipedia
4.7.1,Title,"Acer Laptops Price in India, Reviews, Specifications - NDTV ..."
4.1.2,Link,https://www.acer.com/ac/en/US/content/home
4.2.2,Link,https://store.acer.com/en-us/
4.3.2,Link,https://store.acer.com/en-sg/
4.4.2,Link,https://store.acer.com/en-in/
4.5.2,Link,https://store.acer.com/en-gb/
4.6.2,Link,https://en.wikipedia.org/wiki/Acer_Inc.
4.7.2,Link,https://gadgets360.com/laptops/acer-laptops
4.1.3,Details,Predator Triton 500 · Acer Chromebook Spin 311 · Aspire 5 · Swift X · Windows 11 · Xbox Game Pass · Acer Corner · Intel® Extreme Masters.
4.2.3,Details,"Acer Store - US | Save now on the latest Acer products - Laptops, Chromebooks, Desktops, Monitors and so much more. Shop Now."
4.3.3,Details,ACER - explore beyond limits. America. Brazil. Brazilian Portuguese · Canada. English · Canada. French · United States. English. Europe.
4.4.3,Details,"Shop for the best Acer thin and light laptops, gaming laptops, business laptops, PCs, tablets, monitors, accessories & more."
4.5.3,Details,"Explore the Official Acer Store UK and shop the newest Acer notebooks, 2-in-1s, chromebooks, desktops, monitors, projectors, and accessories. Free delivery."
4.6.3,Details,"Acer Inc is a Taiwanese multinational hardware and electronics corporation specializing in advanced electronics technology, headquartered in Xizhi, ..."
4.7.3,Details,Acer is a Taiwanese multinational company that is in the hardware and electronics business. Acer was founded as Multitech in 1976 and renamed Acer in 1987.
