Index,Field,Value
2.1.1,Title,Lionel Messi - Wikipedia
2.2.1,Title,Leo Messi (@leomessi) • Instagram photos and videos
2.3.1,Title,Lionel Messi - Player profile 21/22 | Transfermarkt
2.4.1,Title,Lionel Messi 33 Crazy Dribbling Skills for PSG - YouTube
2.5.1,Title,"Lionel Messi | Biography, Team, Barcelona, PSG, & Facts"
2.6.1,Title,Lionel Messi - Official Website of FC Barcelona
2.7.1,Title,Lionel Messi - Forbes
2.8.1,Title,Web oficial Leo Messi jugador del PSG
2.1.2,Link,https://en.wikipedia.org/wiki/Lionel_Messi
2.2.2,Link,https://www.instagram.com/leomessi/?hl=en
2.3.2,Link,https://www.transfermarkt.com/lionel-messi/profil/spieler/28003
2.4.2,Link,https://www.youtube.com/watch?v=W-SIYTANgmA
2.5.2,Link,https://www.britannica.com/biography/Lionel-Messi
2.6.2,Link,https://www.fcbarcelona.com/en/football/first-team/players/4974/lionel-messi
2.7.2,Link,https://www.forbes.com/profile/lionel-messi/
2.8.2,Link,https://messi.com/en/
2.1.3,Details,"24 minutes ago — Lionel Andrés Messi also known as Leo Messi, is an Argentine professional footballer who plays as a forward for Ligue 1 club Paris Saint-Germain and ..."
2.2.3,Details,"335m Followers, 294 Following, 867 Posts - See Instagram photos and videos from Leo Messi (@leomessi)"
2.3.3,Details,"#30 Lionel Messi ; Height: 1,70 m ; Position: Right Winger ; Current international: Argentina ; Appearances. 26 ; Goals. 6."
2.4.3,Details,"#30 Lionel Messi ; Height: 1,70 m ; Position: Right Winger ; Current international: Argentina ; Appearances. 26 ; Goals. 6."
2.5.3,Details,"Lionel Messi, in full Lionel Andrés Messi, also called Leo Messi, (born June 24, 1987, Rosario, Argentina), Argentine-born football (soccer) player who was ..."
2.6.3,Details,My shirt. Forward. 30 Lionel Messi. Facebook Instagram Website. Barça Appearances. 778. 2021/2022 Season. 0. Barça Goals. 672. 2021/2022 Season.
2.7.3,Details,1 Lionel Messi on the 2022 The World's Highest-Paid Athletes - Messi claimed the Ballon d'Or as the world's best soccer player for a record seventh time in ...
2.8.3,Details,"Web oficial de Lionel Messi, jugador del Futbol Club Barcelona hasta la temporada 2020-2021 y jugador del PSG en la temporada 2021-2022."
